"GEO_ID","P012001","P012002","P012003","P012004","P012005","P012006","P012007","P012008","P012009","P012010","P012011","P012012","P012013","P012014","P012015","P012016","P012017","P012018","P012019","P012020","P012021","P012022","P012023","P012024","P012025","P012026","P012027","P012028","P012029","P012030","P012031","P012032","P012033","P012034","P012035","P012036","P012037","P012038","P012039","P012040","P012041","P012042","P012043","P012044","P012045","P012046","P012047","P012048","P012049","NAME"
"id","Total","Total!!Male","Total!!Male!!Under 5 years","Total!!Male!!5 to 9 years","Total!!Male!!10 to 14 years","Total!!Male!!15 to 17 years","Total!!Male!!18 and 19 years","Total!!Male!!20 years","Total!!Male!!21 years","Total!!Male!!22 to 24 years","Total!!Male!!25 to 29 years","Total!!Male!!30 to 34 years","Total!!Male!!35 to 39 years","Total!!Male!!40 to 44 years","Total!!Male!!45 to 49 years","Total!!Male!!50 to 54 years","Total!!Male!!55 to 59 years","Total!!Male!!60 and 61 years","Total!!Male!!62 to 64 years","Total!!Male!!65 and 66 years","Total!!Male!!67 to 69 years","Total!!Male!!70 to 74 years","Total!!Male!!75 to 79 years","Total!!Male!!80 to 84 years","Total!!Male!!85 years and over","Total!!Female","Total!!Female!!Under 5 years","Total!!Female!!5 to 9 years","Total!!Female!!10 to 14 years","Total!!Female!!15 to 17 years","Total!!Female!!18 and 19 years","Total!!Female!!20 years","Total!!Female!!21 years","Total!!Female!!22 to 24 years","Total!!Female!!25 to 29 years","Total!!Female!!30 to 34 years","Total!!Female!!35 to 39 years","Total!!Female!!40 to 44 years","Total!!Female!!45 to 49 years","Total!!Female!!50 to 54 years","Total!!Female!!55 to 59 years","Total!!Female!!60 and 61 years","Total!!Female!!62 to 64 years","Total!!Female!!65 and 66 years","Total!!Female!!67 to 69 years","Total!!Female!!70 to 74 years","Total!!Female!!75 to 79 years","Total!!Female!!80 to 84 years","Total!!Female!!85 years and over","Geographic Area Name"
"1000000US370630001011000","97","54","8","2","3","2","4","2","1","0","7","8","2","3","5","2","2","0","0","1","1","1","0","0","0","43","1","4","4","0","2","0","1","2","1","2","5","2","3","4","5","1","0","0","4","0","1","1","0","Block 1000, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011001","51","24","1","3","2","2","0","0","0","0","3","3","1","2","1","3","1","0","0","0","0","1","1","0","0","27","0","6","2","0","0","0","0","0","3","2","3","3","1","1","1","0","1","0","1","0","2","0","1","Block 1001, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011002","38","23","3","1","2","0","0","0","0","0","2","4","5","2","0","0","3","0","1","0","0","0","0","0","0","15","0","2","0","1","0","0","0","0","2","5","1","0","1","1","1","1","0","0","0","0","0","0","0","Block 1002, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011003","47","30","3","4","4","3","3","0","1","1","2","3","2","2","1","0","0","0","0","1","0","0","0","0","0","17","1","2","2","1","0","1","0","0","1","1","4","1","0","1","2","0","0","0","0","0","0","0","0","Block 1003, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011004","51","29","0","2","1","0","1","2","1","4","4","1","3","3","2","1","2","0","0","0","0","0","1","1","0","22","2","2","0","1","0","0","0","2","2","1","1","4","2","2","1","0","0","0","0","0","2","0","0","Block 1004, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011005","59","32","2","3","6","0","1","1","0","0","1","3","3","3","0","3","2","2","0","0","0","0","1","1","0","27","2","5","0","1","0","0","0","0","3","4","3","2","3","0","1","0","0","0","0","1","1","1","0","Block 1005, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011006","63","33","1","1","3","1","0","1","0","3","8","1","4","1","3","0","1","1","0","1","1","1","1","0","0","30","1","2","1","0","0","0","1","1","4","4","2","2","3","3","2","1","0","1","0","1","0","1","0","Block 1006, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011007","36","15","2","0","0","0","0","0","0","0","1","4","0","2","0","1","1","1","0","0","1","1","0","1","0","21","1","0","0","0","0","0","0","0","3","5","0","0","2","2","0","1","0","2","1","1","0","1","2","Block 1007, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011008","25","11","2","0","0","1","0","1","0","0","1","1","1","0","1","1","0","1","0","0","1","0","0","0","0","14","0","0","0","0","0","0","0","1","2","3","1","1","1","1","0","0","0","0","0","0","1","0","3","Block 1008, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011009","59","28","3","1","0","1","0","1","0","2","2","4","1","1","5","2","2","1","1","0","0","1","0","0","0","31","2","2","0","0","1","0","0","0","3","3","3","3","3","4","3","0","2","0","1","1","0","0","0","Block 1009, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011010","80","34","3","3","1","0","0","1","0","0","8","6","5","2","0","2","0","1","0","0","0","1","0","0","1","46","2","5","2","0","1","1","0","4","7","8","3","1","1","1","5","0","0","0","1","1","1","1","1","Block 1010, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011011","32","16","0","0","1","1","1","1","0","1","1","1","2","1","0","2","1","0","2","0","0","0","0","1","0","16","0","0","1","1","0","0","0","0","0","4","2","2","0","0","2","0","1","0","0","1","1","1","0","Block 1011, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011012","47","22","3","0","1","2","0","0","0","1","3","1","4","0","1","4","1","0","0","0","0","0","0","0","1","25","1","0","0","1","3","0","0","0","2","3","2","2","3","3","0","0","0","0","1","0","1","2","1","Block 1012, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011013","29","13","2","2","0","0","0","0","0","1","1","1","1","1","1","0","2","0","1","0","0","0","0","0","0","16","0","2","0","2","0","0","0","0","0","3","1","0","2","1","1","1","0","0","1","0","0","0","2","Block 1013, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011014","30","12","0","1","0","0","1","0","0","0","2","1","3","0","1","0","1","0","0","0","1","0","1","0","0","18","1","1","2","0","0","0","0","0","1","1","6","1","0","2","2","0","0","0","0","1","0","0","0","Block 1014, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"1000000US370630001011015","59","31","2","2","1","1","2","0","0","1","4","1","3","2","3","6","0","2","0","0","0","0","0","1","0","28","5","0","1","0","0","1","0","1","2","1","2","4","0","3","4","0","1","0","1","0","1","1","0","Block 1015, Block Group 1, Census Tract 1.01, Durham County, North Carolina"
